iteration,thread,score,best
0,0,-30.0,-30.0
1,0,-49.0,-49.0
2,0,-38.0,-38.0
3,0,-30.0,-30.0
4,0,-27.0,-27.0
5,0,-46.0,-27.0
6,0,-24.0,-24.0
7,0,-49.0,-24.0
8,0,-36.0,-24.0
9,0,-41.0,-24.0
10,0,-30.0,-24.0
11,0,-20.0,-20.0
12,0,-23.0,-20.0
13,0,-50.0,-20.0
14,0,-30.0,-20.0
15,0,-20.0,-20.0
16,0,-21.0,-20.0
17,0,-21.0,-20.0
18,0,-22.0,-20.0
19,0,-22.0,-20.0
20,0,-18.0,-18.0
21,0,-19.0,-18.0
22,0,-25.0,-18.0
23,0,-24.0,-18.0
24,0,-23.0,-18.0
25,0,-18.0,-18.0
26,0,-17.0,-17.0
27,0,-17.0,-17.0
28,0,-20.0,-17.0
29,0,-17.0,-17.0
30,0,-15.0,-15.0
31,0,-16.0,-15.0
32,0,-16.0,-15.0
33,0,-19.0,-15.0
34,0,-16.0,-15.0
35,0,-14.0,-14.0
36,0,-14.0,-14.0
37,0,-14.0,-14.0
38,0,-13.0,-13.0
39,0,-15.0,-13.0
40,0,-13.0,-13.0
41,0,-12.0,-12.0
42,0,-12.0,-12.0
43,0,-11.0,-11.0
44,0,-11.0,-11.0
45,0,-10.0,-10.0
46,0,-10.0,-10.0
47,0,-15.0,-10.0
48,0,-13.0,-10.0
49,0,-10.0,-10.0
50,0,-13.0,-10.0
51,0,-11.0,-10.0
52,0,-9.0,-9.0
53,0,-10.0,-9.0
54,0,-12.0,-9.0
55,0,-7.0,-7.0
56,0,-10.0,-7.0
57,0,-9.0,-7.0
58,0,-8.0,-7.0
59,0,-13.0,-7.0
60,0,-5.0,-5.0
61,0,-7.0,-5.0
62,0,-11.0,-5.0
63,0,-12.0,-5.0
64,0,-8.0,-5.0
65,0,-9.0,-5.0
66,0,-7.0,-5.0
67,0,-8.0,-5.0
68,0,-6.0,-5.0
69,0,-9.0,-5.0
70,0,-6.0,-5.0
71,0,-10.0,-5.0
72,0,-7.0,-5.0
73,0,-9.0,-5.0
74,0,-8.0,-5.0
75,0,-8.0,-5.0
76,0,-6.0,-5.0
77,0,-9.0,-5.0
78,0,-9.0,-5.0
79,0,-7.0,-5.0
80,0,-11.0,-5.0
81,0,-11.0,-5.0
82,0,-8.0,-5.0
83,0,-16.0,-5.0
84,0,-10.0,-5.0
85,0,-10.0,-5.0
86,0,-4.0,-4.0
87,0,-12.0,-4.0
88,0,-9.0,-4.0
89,0,-10.0,-4.0
90,0,-8.0,-4.0
91,0,-3.0,-3.0
92,0,-8.0,-3.0
93,0,-6.0,-3.0
94,0,-5.0,-3.0
95,0,-6.0,-3.0
96,0,-4.0,-3.0
97,0,-5.0,-3.0
98,0,-7.0,-3.0
99,0,-6.0,-3.0
100,0,-7.0,-3.0
101,0,-4.0,-3.0
102,0,-9.0,-3.0
103,0,-8.0,-3.0
104,0,-7.0,-3.0
105,0,-7.0,-3.0
106,0,-6.0,-3.0
107,0,-9.0,-3.0
108,0,-5.0,-3.0
109,0,-5.0,-3.0
0,1,-44.0,-44.0
1,1,-47.0,-47.0
2,1,-30.0,-30.0
3,1,-24.0,-24.0
4,1,-43.0,-24.0
5,1,-39.0,-24.0
6,1,-29.0,-24.0
7,1,-42.0,-24.0
8,1,-14.0,-14.0
9,1,-27.0,-14.0
10,1,-26.0,-14.0
11,1,-45.0,-14.0
12,1,-38.0,-14.0
13,1,-31.0,-14.0
14,1,-22.0,-14.0
15,1,-13.0,-13.0
16,1,-14.0,-13.0
17,1,-17.0,-13.0
18,1,-16.0,-13.0
19,1,-13.0,-13.0
20,1,-16.0,-13.0
21,1,-11.0,-11.0
22,1,-15.0,-11.0
23,1,-12.0,-11.0
24,1,-14.0,-11.0
25,1,-10.0,-10.0
26,1,-11.0,-10.0
27,1,-7.0,-7.0
28,1,-9.0,-7.0
29,1,-12.0,-7.0
30,1,-5.0,-5.0
31,1,-7.0,-5.0
32,1,-8.0,-5.0
33,1,-9.0,-5.0
34,1,-10.0,-5.0
35,1,-6.0,-5.0
36,1,-5.0,-5.0
37,1,-4.0,-4.0
38,1,-6.0,-4.0
39,1,-3.0,-3.0
40,1,-9.0,-3.0
41,1,-6.0,-3.0
42,1,-7.0,-3.0
43,1,-8.0,-3.0
44,1,-5.0,-3.0
45,1,-10.0,-3.0
46,1,-8.0,-3.0
47,1,-7.0,-3.0
48,1,-5.0,-3.0
49,1,-5.0,-3.0
50,1,-8.0,-3.0
51,1,-6.0,-3.0
52,1,-7.0,-3.0
53,1,-6.0,-3.0
54,1,-7.0,-3.0
55,1,-7.0,-3.0
56,1,-10.0,-3.0
57,1,-7.0,-3.0
58,1,-8.0,-3.0
59,1,-8.0,-3.0
60,1,-10.0,-3.0
61,1,-9.0,-3.0
62,1,-4.0,-3.0
63,1,-4.0,-3.0
64,1,-2.0,-2.0
65,1,-13.0,-2.0
66,1,-16.0,-2.0
67,1,-13.0,-2.0
68,1,-9.0,-2.0
69,1,-9.0,-2.0
70,1,-5.0,-2.0
71,1,-7.0,-2.0
72,1,-19.0,-2.0
73,1,-17.0,-2.0
74,1,-4.0,-2.0
75,1,-4.0,-2.0
76,1,-6.0,-2.0
77,1,-3.0,-2.0
78,1,-4.0,-2.0
79,1,-2.0,-2.0
80,1,-11.0,-2.0
81,1,-6.0,-2.0
82,1,-5.0,-2.0
83,1,-8.0,-2.0
84,1,-8.0,-2.0
85,1,-18.0,-2.0
86,1,-11.0,-2.0
87,1,-23.0,-2.0
88,1,-18.0,-2.0
89,1,-16.0,-2.0
90,1,-13.0,-2.0
91,1,-15.0,-2.0
92,1,-16.0,-2.0
93,1,-13.0,-2.0
94,1,-10.0,-2.0
95,1,-15.0,-2.0
96,1,-10.0,-2.0
97,1,-16.0,-2.0
98,1,-10.0,-2.0
99,1,-6.0,-2.0
100,1,-7.0,-2.0
101,1,-6.0,-2.0
102,1,-10.0,-2.0
103,1,-12.0,-2.0
104,1,-2.0,-2.0
105,1,-24.0,-2.0
106,1,-3.0,-2.0
107,1,-6.0,-2.0
108,1,-1.0,-1.0
109,1,-6.0,-1.0
0,2,-39.0,-39.0
1,2,-52.0,-52.0
2,2,-78.0,-52.0
3,2,-70.0,-52.0
4,2,-34.0,-34.0
5,2,-39.0,-34.0
6,2,-67.0,-34.0
7,2,-84.0,-34.0
8,2,-61.0,-34.0
9,2,-39.0,-34.0
10,2,-58.0,-34.0
11,2,-35.0,-34.0
12,2,-51.0,-34.0
13,2,-44.0,-34.0
14,2,-15.0,-15.0
15,2,-31.0,-15.0
16,2,-62.0,-15.0
17,2,-34.0,-15.0
18,2,-51.0,-15.0
19,2,-37.0,-15.0
20,2,-18.0,-15.0
21,2,-12.0,-12.0
22,2,-14.0,-12.0
23,2,-16.0,-12.0
24,2,-13.0,-12.0
25,2,-15.0,-12.0
26,2,-16.0,-12.0
27,2,-10.0,-10.0
28,2,-13.0,-10.0
29,2,-14.0,-10.0
30,2,-11.0,-10.0
31,2,-13.0,-10.0
32,2,-11.0,-10.0
33,2,-10.0,-10.0
34,2,-12.0,-10.0
35,2,-14.0,-10.0
36,2,-7.0,-7.0
37,2,-9.0,-7.0
38,2,-8.0,-7.0
39,2,-8.0,-7.0
40,2,-5.0,-5.0
41,2,-8.0,-5.0
42,2,-7.0,-5.0
43,2,-10.0,-5.0
44,2,-8.0,-5.0
45,2,-6.0,-5.0
46,2,-3.0,-3.0
47,2,-5.0,-3.0
48,2,-7.0,-3.0
49,2,-4.0,-3.0
50,2,-3.0,-3.0
51,2,-2.0,-2.0
52,2,-4.0,-2.0
53,2,-1.0,-1.0
54,2,-3.0,-1.0
55,2,-4.0,-1.0
56,2,-5.0,-1.0
57,2,-3.0,-1.0
58,2,-6.0,-1.0
59,2,-5.0,-1.0
60,2,-8.0,-1.0
61,2,-7.0,-1.0
62,2,-5.0,-1.0
63,2,-8.0,-1.0
64,2,-6.0,-1.0
65,2,-6.0,-1.0
66,2,-5.0,-1.0
67,2,-4.0,-1.0
68,2,-6.0,-1.0
69,2,-0.0,-0.0
70,2,-7.0,-0.0
71,2,-4.0,-0.0
72,2,-5.0,-0.0
73,2,-5.0,-0.0
74,2,-7.0,-0.0
75,2,-7.0,-0.0
76,2,-2.0,-0.0
77,2,-3.0,-0.0
78,2,-2.0,-0.0
79,2,-4.0,-0.0
80,2,-3.0,-0.0
81,2,-4.0,-0.0
82,2,-4.0,-0.0
83,2,-4.0,-0.0
84,2,-2.0,-0.0
85,2,-5.0,-0.0
86,2,-2.0,-0.0
87,2,-6.0,-0.0
88,2,-5.0,-0.0
89,2,-1.0,-0.0
90,2,-14.0,-0.0
91,2,-5.0,-0.0
92,2,-4.0,-0.0
93,2,-5.0,-0.0
94,2,-5.0,-0.0
95,2,-9.0,-0.0
96,2,-9.0,-0.0
97,2,-16.0,-0.0
98,2,-12.0,-0.0
99,2,-10.0,-0.0
100,2,-5.0,-0.0
101,2,-12.0,-0.0
102,2,-13.0,-0.0
103,2,-13.0,-0.0
104,2,-14.0,-0.0
105,2,-24.0,-0.0
106,2,-9.0,-0.0
107,2,-11.0,-0.0
108,2,-9.0,-0.0
109,2,-5.0,-0.0
0,3,-24.0,-24.0
1,3,-39.0,-24.0
2,3,-29.0,-24.0
3,3,-36.0,-24.0
4,3,-20.0,-20.0
5,3,-47.0,-20.0
6,3,-29.0,-20.0
7,3,-47.0,-20.0
8,3,-42.0,-20.0
9,3,-16.0,-16.0
10,3,-33.0,-16.0
11,3,-51.0,-16.0
12,3,-9.0,-9.0
13,3,-42.0,-9.0
14,3,-50.0,-9.0
15,3,-15.0,-9.0
16,3,-26.0,-9.0
17,3,-25.0,-9.0
18,3,-19.0,-9.0
19,3,-10.0,-9.0
20,3,-14.0,-9.0
21,3,-14.0,-9.0
22,3,-10.0,-9.0
23,3,-12.0,-9.0
24,3,-11.0,-9.0
25,3,-13.0,-9.0
26,3,-13.0,-9.0
27,3,-14.0,-9.0
28,3,-11.0,-9.0
29,3,-15.0,-9.0
30,3,-14.0,-9.0
31,3,-11.0,-9.0
32,3,-16.0,-9.0
33,3,-13.0,-9.0
34,3,-13.0,-9.0
35,3,-16.0,-9.0
36,3,-15.0,-9.0
37,3,-14.0,-9.0
38,3,-12.0,-9.0
39,3,-12.0,-9.0
40,3,-13.0,-9.0
41,3,-13.0,-9.0
42,3,-11.0,-9.0
43,3,-14.0,-9.0
44,3,-15.0,-9.0
45,3,-10.0,-9.0
46,3,-10.0,-9.0
47,3,-12.0,-9.0
48,3,-13.0,-9.0
49,3,-8.0,-8.0
50,3,-15.0,-8.0
51,3,-15.0,-8.0
52,3,-11.0,-8.0
53,3,-12.0,-8.0
54,3,-13.0,-8.0
55,3,-9.0,-8.0
56,3,-12.0,-8.0
57,3,-9.0,-8.0
58,3,-14.0,-8.0
59,3,-7.0,-7.0
60,3,-17.0,-7.0
61,3,-11.0,-7.0
62,3,-10.0,-7.0
63,3,-12.0,-7.0
64,3,-10.0,-7.0
65,3,-9.0,-7.0
66,3,-8.0,-7.0
67,3,-8.0,-7.0
68,3,-11.0,-7.0
69,3,-12.0,-7.0
70,3,-13.0,-7.0
71,3,-11.0,-7.0
72,3,-12.0,-7.0
73,3,-9.0,-7.0
74,3,-8.0,-7.0
75,3,-8.0,-7.0
76,3,-13.0,-7.0
77,3,-12.0,-7.0
78,3,-14.0,-7.0
79,3,-10.0,-7.0
80,3,-9.0,-7.0
81,3,-23.0,-7.0
82,3,-12.0,-7.0
83,3,-11.0,-7.0
84,3,-6.0,-6.0
85,3,-20.0,-6.0
86,3,-21.0,-6.0
87,3,-18.0,-6.0
88,3,-16.0,-6.0
89,3,-19.0,-6.0
90,3,-12.0,-6.0
91,3,-13.0,-6.0
92,3,-12.0,-6.0
93,3,-12.0,-6.0
94,3,-10.0,-6.0
95,3,-8.0,-6.0
96,3,-13.0,-6.0
97,3,-9.0,-6.0
98,3,-11.0,-6.0
99,3,-17.0,-6.0
100,3,-10.0,-6.0
101,3,-10.0,-6.0
102,3,-9.0,-6.0
103,3,-10.0,-6.0
104,3,-14.0,-6.0
105,3,-14.0,-6.0
106,3,-8.0,-6.0
107,3,-11.0,-6.0
108,3,-5.0,-5.0
109,3,-13.0,-5.0
0,4,-10.0,-10.0
1,4,-31.0,-31.0
2,4,-52.0,-52.0
3,4,-64.0,-52.0
4,4,-60.0,-52.0
5,4,-49.0,-49.0
6,4,-55.0,-49.0
7,4,-48.0,-48.0
8,4,-35.0,-35.0
9,4,-68.0,-35.0
10,4,-71.0,-35.0
11,4,-21.0,-21.0
12,4,-57.0,-21.0
13,4,-16.0,-16.0
14,4,-50.0,-16.0
15,4,-34.0,-16.0
16,4,-17.0,-16.0
17,4,-17.0,-16.0
18,4,-14.0,-14.0
19,4,-16.0,-14.0
20,4,-15.0,-14.0
21,4,-14.0,-14.0
22,4,-13.0,-13.0
23,4,-15.0,-13.0
24,4,-12.0,-12.0
25,4,-15.0,-12.0
26,4,-11.0,-11.0
27,4,-9.0,-9.0
28,4,-10.0,-9.0
29,4,-15.0,-9.0
30,4,-12.0,-9.0
31,4,-12.0,-9.0
32,4,-11.0,-9.0
33,4,-7.0,-7.0
34,4,-14.0,-7.0
35,4,-8.0,-7.0
36,4,-9.0,-7.0
37,4,-6.0,-6.0
38,4,-6.0,-6.0
39,4,-5.0,-5.0
40,4,-8.0,-5.0
41,4,-5.0,-5.0
42,4,-7.0,-5.0
43,4,-3.0,-3.0
44,4,-6.0,-3.0
45,4,-7.0,-3.0
46,4,-10.0,-3.0
47,4,-6.0,-3.0
48,4,-7.0,-3.0
49,4,-4.0,-3.0
50,4,-8.0,-3.0
51,4,-6.0,-3.0
52,4,-4.0,-3.0
53,4,-5.0,-3.0
54,4,-11.0,-3.0
55,4,-5.0,-3.0
56,4,-9.0,-3.0
57,4,-9.0,-3.0
58,4,-9.0,-3.0
59,4,-5.0,-3.0
60,4,-7.0,-3.0
61,4,-7.0,-3.0
62,4,-7.0,-3.0
63,4,-8.0,-3.0
64,4,-10.0,-3.0
65,4,-9.0,-3.0
66,4,-8.0,-3.0
67,4,-7.0,-3.0
68,4,-2.0,-2.0
69,4,-7.0,-2.0
70,4,-6.0,-2.0
71,4,-6.0,-2.0
72,4,-6.0,-2.0
73,4,-1.0,-1.0
74,4,-3.0,-1.0
75,4,-4.0,-1.0
76,4,-8.0,-1.0
77,4,-5.0,-1.0
78,4,-3.0,-1.0
79,4,-8.0,-1.0
80,4,-5.0,-1.0
81,4,-3.0,-1.0
82,4,-5.0,-1.0
83,4,-2.0,-1.0
84,4,-4.0,-1.0
85,4,-7.0,-1.0
86,4,-5.0,-1.0
87,4,-5.0,-1.0
88,4,-4.0,-1.0
89,4,-6.0,-1.0
90,4,-2.0,-1.0
91,4,-6.0,-1.0
92,4,-4.0,-1.0
93,4,-0.0,-0.0
94,4,-5.0,-0.0
95,4,-7.0,-0.0
96,4,-3.0,-0.0
97,4,-4.0,-0.0
98,4,-2.0,-0.0
99,4,-2.0,-0.0
100,4,-3.0,-0.0
101,4,-9.0,-0.0
102,4,-3.0,-0.0
103,4,-6.0,-0.0
104,4,-4.0,-0.0
105,4,-1.0,-0.0
106,4,-13.0,-0.0
107,4,-9.0,-0.0
108,4,-4.0,-0.0
109,4,-5.0,-0.0
110,4,-4.0,-0.0
